id,symbol,market_cap_rank,name,current_price,high_24h,low_24h,image
bitcoin,btc,1,Bitcoin,39588.0,40660.0,39444.0,"https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579"
ethereum,eth,2,Ethereum,2995.45,3080.4,2961.52,"https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880"
tether,usdt,3,Tether,1.0,1.005,0.999022,"https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707"
binancecoin,bnb,4,BNB,409.04,416.34,392.79,"https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1644979850"
usd-coin,usdc,5,"USD Coin",0.99977,1.006,0.992335,"https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389"
ripple,xrp,6,XRP,0.69887,0.721029,0.686667,"https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731"
solana,sol,7,Solana,102.2,108.76,98.72,"https://assets.coingecko.com/coins/images/4128/large/solana.png?1640133422"
cardano,ada,8,Cardano,0.939235,0.979747,0.921321,"https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860"
terra-luna,luna,9,Terra,83.29,88.17,81.26,"https://assets.coingecko.com/coins/images/8284/large/luna1557227471663.png?1567147072"
avalanche-2,avax,10,Avalanche,75.22,79.36,73.04,"https://assets.coingecko.com/coins/images/12559/large/coin-round-red.png?1604021818"
polkadot,dot,11,Polkadot,17.36,18.01,17.08,"https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1639712644"
dogecoin,doge,12,Dogecoin,0.136061,0.143906,0.133827,"https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256"
binance-usd,busd,13,"Binance USD",1.0,1.009,0.986763,"https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766"
terrausd,ust,14,TerraUSD,1.001,1.011,0.997478,"https://assets.coingecko.com/coins/images/12681/large/UST.png?1601612407"
shiba-inu,shib,15,"Shiba Inu",2.567E-5,2.874E-5,2.201E-5,"https://assets.coingecko.com/coins/images/11939/large/shiba.png?1622619446"
wrapped-bitcoin,wbtc,16,"Wrapped Bitcoin",39567.0,40650.0,39423.0,"https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744"
near,near,17,"NEAR Protocol",15.79,17.09,15.21,"https://assets.coingecko.com/coins/images/10365/large/near_icon.png?1601359077"
crypto-com-chain,cro,18,Cronos,0.412578,0.42341,0.400342,"https://assets.coingecko.com/coins/images/7310/large/oCw2s3GI_400x400.jpeg?1645172042"
staked-ether,steth,19,"Lido Staked Ether",2986.83,3083.25,2959.69,"https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546"
matic-network,matic,20,Polygon,1.38,1.47,1.32,"https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912"
dai,dai,21,Dai,1.001,1.005,0.997233,"https://assets.coingecko.com/coins/images/9956/large/4943.png?1636636734"
litecoin,ltc,22,Litecoin,103.36,105.78,102.21,"https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580"
cosmos,atom,23,"Cosmos Hub",24.22,25.37,23.56,"https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960"
chainlink,link,24,Chainlink,13.76,14.31,13.6,"https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700"
tron,trx,25,TRON,0.059337,0.06048,0.058063,"https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066"
bitcoin-cash,bch,26,"Bitcoin Cash",299.38,307.32,291.66,"https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492"
ftx-token,ftt,27,"FTX Token",41.48,42.66,41.3,"https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564"
leo-token,leo,28,"LEO Token",5.7,5.95,5.49,"https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215"
ethereum-classic,etc,29,"Ethereum Classic",37.25,39.09,36.2,"https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169"
okb,okb,30,OKB,18.47,19.25,18.22,"https://assets.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1642471050"
algorand,algo,31,Algorand,0.712172,0.742769,0.686013,"https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725"
stellar,xlm,32,Stellar,0.18934,0.194389,0.186658,"https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157"
monero,xmr,33,Monero,233.11,247.92,216.77,"https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729"
uniswap,uni,34,Uniswap,9.14,9.49,8.96,"https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604"
vechain,vet,35,VeChain,0.059037,0.062065,0.057337,"https://assets.coingecko.com/coins/images/1167/large/VeChain-Logo-768x725.png?1547035194"
hedera-hashgraph,hbar,36,Hedera,0.19505,0.20405,0.193229,"https://assets.coingecko.com/coins/images/3688/large/hbar.png?1637045634"
internet-computer,icp,37,"Internet Computer",16.19,17.04,15.75,"https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1620703073"
axie-infinity,axs,38,"Axie Infinity",46.08,48.86,44.64,"https://assets.coingecko.com/coins/images/13029/large/axie_infinity_logo.png?1604471082"
filecoin,fil,39,Filecoin,18.67,19.58,18.06,"https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933"
elrond-erd-2,egld,40,Elrond,152.69,159.59,149.06,"https://assets.coingecko.com/coins/images/12335/large/elrond3_360.png?1626341589"
decentraland,mana,41,Decentraland,2.11,2.2,2.05,"https://assets.coingecko.com/coins/images/878/large/decentraland-mana.png?1550108745"
the-sandbox,sand,42,"The Sandbox",2.74,2.83,2.67,"https://assets.coingecko.com/coins/images/12129/large/sandbox_logo.jpg?1597397942"
compound-ether,ceth,43,cETH,60.38,61.85,59.54,"https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598"
apecoin,ape,44,ApeCoin,11.28,12.09,10.76,"https://assets.coingecko.com/coins/images/24383/large/apecoin.jpg?1647476455"
theta-token,theta,45,"Theta Network",2.98,3.18,2.97,"https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1548387191"
fantom,ftm,46,Fantom,1.14,1.19,1.11,"https://assets.coingecko.com/coins/images/4001/large/Fantom.png?1558015016"
magic-internet-money,mim,47,"Magic Internet Money",0.99939,1.004,0.993698,"https://assets.coingecko.com/coins/images/16786/large/mimlogopng.png?1624979612"
klay-token,klay,48,Klaytn,0.99305,1.018,0.983962,"https://assets.coingecko.com/coins/images/9672/large/klaytn.jpeg?1642775250"
frax,frax,49,Frax,1.0,1.004,0.996146,"https://assets.coingecko.com/coins/images/13422/large/frax_logo.png?1608476506"
tezos,xtz,50,Tezos,3.03,3.2,2.96,"https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1547034862"
